"gene","spearman_rho","p_value","fdr"
"CCDC88C",0.764285714285714,6.06364317972634e-09,3.18621519351502e-07
"SEMA4D",0.763796333317388,6.28355077607069e-09,3.29254550302542e-07
"IL18R1",0.763373421590439,6.47956030596526e-09,3.38579587129811e-07
"RASSF4",0.762891986062718,6.70963113115499e-09,3.47696050799272e-07
"ST6GALNAC6",0.762891986062718,6.70963113115499e-09,3.47696050799272e-07
"TLR8",0.762891986062718,6.70963113115499e-09,3.47696050799272e-07
"NLRC4",0.762717770034843,6.79474769829335e-09,3.51136837664697e-07
"GADD45B",0.762543554006969,6.88087067426621e-09,3.54610585105934e-07
"PRF1",0.762369337979094,6.96801107459139e-09,3.58117588351397e-07
"TCL1A",0.762180684264561,7.06353329149489e-09,3.62035030096046e-07
"KLRK1",0.761966985347536,7.17321171481315e-09,3.66654709967793e-07
"FBP1",0.761846689895471,7.23564864267639e-09,3.6884112197817e-07
"ITM2A",0.761498257839721,7.41936778687291e-09,3.7718135586436e-07
"SLCO2B1",0.761149825783972,7.60743055473243e-09,3.85696729124934e-07
"GPR183",0.760452961672474,7.99696872872951e-09,4.04353467337566e-07
"HMSD",0.760058984127826,8.22534910255061e-09,4.14783128534266e-07
"CD274",0.75993031358885,8.30124461822948e-09,4.17488063789187e-07
"WDFY4",0.758885017421603,8.94245668410402e-09,4.48533542612587e-07
"CCR6",0.758123118273085,9.4386065098502e-09,4.72156852048746e-07
"EFEMP1",0.757839721254356,9.62961609529479e-09,4.80430766839455e-07
"AKR1A1",0.757665505226481,9.74882009423188e-09,4.83804540073269e-07
"DENND2D",0.757665505226481,9.74882009423188e-09,4.83804540073269e-07
"EAF2",0.756968641114983,1.02395301663427e-08,5.0415576480426e-07
"LAT",0.756968641114983,1.02395301663427e-08,5.0415576480426e-07
"ZC3H12D",0.756752058883195,1.03966698822553e-08,5.10552697175986e-07
"LAG3",0.756271777003484,1.07531903449947e-08,5.26681717184738e-07
"IPCEF1",0.756217606013715,1.07941097388746e-08,5.27309126540493e-07
"FCER1G",0.75609756097561,1.08853065409878e-08,5.30383027019193e-07
"LAX1",0.755885204451075,1.10483927088808e-08,5.36934711984182e-07
"LAMP3",0.755782046973274,1.1128435219618e-08,5.37890971646191e-07
"RHOF",0.755749128919861,1.11540907282034e-08,5.37890971646191e-07
